2micron	102	103	1
2micron	183	184	3
2micron	266	267	1
2micron	284	285	1
2micron	289	290	1
2micron	291	292	2
2micron	292	293	1
2micron	295	296	3
2micron	378	379	1
2micron	410	411	2
2micron	496	497	3
2micron	682	683	1
2micron	687	688	1
2micron	696	697	4
2micron	702	703	3
2micron	756	757	4
2micron	758	759	5
2micron	1226	1227	1
2micron	2127	2128	1
2micron	2143	2144	1
2micron	2147	2148	1
2micron	2163	2164	1
2micron	2642	2643	1
2micron	2691	2692	1
2micron	2716	2717	3
2micron	6171	6172	2
2micron	6178	6179	1
2micron	6179	6180	4
2micron	6181	6182	2
2micron	6262	6263	3
chrI	10670	10671	5
chrI	14798	14799	1
chrI	18597	18598	1
chrI	28787	28788	1
chrI	28804	28805	1
chrI	40722	40723	1
chrI	40889	40890	3
chrI	40895	40896	3
chrI	48109	48110	3
chrI	53657	53658	2
chrI	56106	56107	2
chrI	64020	64021	3
chrI	65961	65962	1
chrI	73092	73093	1
chrI	73189	73190	2
chrI	81570	81571	4
chrI	82371	82372	5
chrI	82401	82402	1
chrI	88915	88916	1
chrI	89348	89349	1
chrI	93038	93039	1
chrI	97142	97143	1
chrI	98570	98571	1
chrI	98755	98756	1
chrI	102563	102564	4
chrI	103641	103642	1
chrI	104234	104235	1
chrI	110062	110063	4
chrI	114149	114150	1
chrI	114328	114329	1
chrI	116868	116869	1
chrI	128654	128655	3
chrI	128665	128666	1
chrI	137050	137051	1
chrI	155451	155452	1
chrI	156246	156247	3
chrI	156247	156248	1
chrI	159733	159734	2
chrI	174518	174519	2
chrI	178038	178039	1
chrI	182018	182019	2
chrI	191716	191717	2
chrI	191877	191878	1
chrI	191901	191902	1
chrI	191974	191975	2
chrI	192048	192049	1
chrI	192051	192052	1
chrI	192054	192055	2
chrI	192752	192753	5
chrI	198705	198706	2
chrI	230133	230134	2
chrII	11777	11778	1
chrII	14367	14368	2
chrII	17597	17598	1
chrII	19094	19095	1
chrII	22381	22382	1
chrII	27337	27338	1
chrII	27345	27346	1
chrII	27427	27429	2
chrII	28238	28239	2
chrII	28711	28712	1
chrII	44556	44557	3
chrII	44832	44833	1
chrII	46568	46569	1
chrII	46606	46607	2
chrII	46765	46766	1
chrII	46893	46894	8
chrII	49835	49836	1
chrII	51147	51148	1
chrII	57764	57765	4
chrII	61409	61410	1
chrII	61419	61420	1
chrII	62834	62835	4
chrII	62835	62836	1
chrII	65735	65736	2
chrII	73166	73167	1
chrII	78702	78703	3
chrII	84764	84765	1
chrII	86976	86977	2
chrII	92837	92838	4
chrII	97845	97846	1
chrII	98506	98507	1
chrII	113786	113787	2
chrII	117580	117581	2
chrII	135737	135738	1
chrII	135813	135814	3
chrII	137047	137048	1
chrII	148918	148919	1
chrII	153272	153273	1
chrII	157583	157584	2
chrII	157591	157592	1
chrII	166769	166770	1
chrII	166881	166882	1
chrII	170210	170211	1
chrII	171115	171116	1
chrII	181383	181384	1
chrII	190509	190510	2
chrII	190982	190983	5
chrII	199042	199043	1
chrII	232892	232893	2
chrII	240374	240375	2
chrII	241684	241685	1
chrII	243491	243492	1
chrII	250474	250475	1
chrII	254011	254012	3
chrII	259004	259005	1
chrII	266492	266493	3
chrII	271982	271983	2
chrII	272489	272490	2
chrII	297536	297537	1
chrII	298406	298407	1
chrII	303372	303373	3
chrII	303570	303571	4
chrII	303584	303585	1
chrII	305252	305253	1
chrII	321563	321564	2
chrII	322461	322462	1
chrII	330524	330525	1
chrII	332450	332451	4
chrII	336434	336435	2
chrII	364313	364314	1
chrII	364330	364331	3
chrII	364331	364332	1
chrII	367060	367061	1
chrII	370763	370764	1
chrII	373182	373183	2
chrII	378158	378159	1
chrII	379914	379915	1
chrII	388003	388004	1
chrII	391970	391972	1
chrII	392169	392170	2
chrII	392590	392591	1
chrII	402630	402631	1
chrII	407930	407931	2
chrII	411819	411820	2
chrII	417482	417483	1
chrII	420396	420397	1
chrII	423554	423555	3
chrII	423555	423556	1
chrII	427212	427213	1
chrII	428400	428401	1
chrII	441921	441922	1
chrII	443991	443992	1
chrII	445925	445926	2
chrII	446395	446396	6
chrII	451352	451353	2
chrII	454969	454970	1
chrII	462077	462078	1
chrII	466495	466496	4
chrII	466565	466566	1
chrII	466577	466578	1
chrII	469137	469138	1
chrII	473136	473137	1
chrII	473844	473845	4
chrII	493085	493086	1
chrII	495919	495920	1
chrII	505608	505609	2
chrII	513955	513956	1
chrII	517049	517050	4
chrII	517086	517087	2
chrII	519717	519718	6
chrII	519788	519789	2
chrII	521386	521387	3
chrII	524477	524478	1
chrII	528788	528789	1
chrII	536010	536011	1
chrII	545123	545124	2
chrII	545429	545430	3
chrII	546254	546255	1
chrII	548337	548338	2
chrII	561139	561140	1
chrII	561722	561723	1
chrII	567017	567018	2
chrII	570774	570775	1
chrII	572880	572881	2
chrII	573961	573962	3
chrII	574264	574265	2
chrII	575595	575596	3
chrII	575605	575606	3
chrII	576990	576991	1
chrII	579238	579239	3
chrII	581841	581842	5
chrII	582478	582479	1
chrII	585004	585005	1
chrII	588491	588492	2
chrII	592500	592501	1
chrII	593759	593760	1
chrII	596385	596386	1
chrII	597972	597973	5
chrII	597973	597974	2
chrII	604533	604534	1
chrII	608943	608944	2
chrII	609240	609241	5
chrII	609329	609330	1
chrII	615037	615038	1
chrII	627958	627959	1
chrII	627984	627985	1
chrII	630659	630660	1
chrII	630732	630733	4
chrII	633140	633141	1
chrII	633204	633205	4
chrII	633253	633254	3
chrII	633306	633307	1
chrII	633399	633400	1
chrII	640206	640207	1
chrII	644993	644994	5
chrII	644994	644995	1
chrII	645808	645809	2
chrII	653009	653010	2
chrII	655984	655985	1
chrII	669508	669509	1
chrII	674092	674093	1
chrII	674139	674140	2
chrII	674214	674215	4
chrII	674507	674508	2
chrII	677643	677644	3
chrII	681785	681786	3
chrII	682843	682844	1
chrII	682845	682846	1
chrII	682872	682873	1
chrII	682903	682904	1
chrII	682927	682928	1
chrII	682929	682930	1
chrII	685459	685460	1
chrII	691202	691203	1
chrII	691253	691254	3
chrII	691263	691264	1
chrII	691266	691267	3
chrII	693455	693456	1
chrII	698897	698898	3
chrII	701736	701737	2
chrII	703180	703181	2
chrII	703181	703182	1
chrII	703221	703222	1
chrII	707297	707298	1
chrII	710775	710776	2
chrII	714285	714286	1
chrII	721386	721387	1
chrII	724389	724390	1
chrII	729650	729651	1
chrII	730479	730480	1
chrII	731050	731051	1
chrII	744225	744226	1
chrII	749303	749304	1
chrII	749586	749587	1
chrII	751641	751642	2
chrII	752131	752132	1
chrII	752247	752248	6
chrII	753194	753195	2
chrII	754366	754367	2
chrII	755265	755266	1
chrII	756485	756486	2
chrII	765052	765053	4
chrII	786460	786461	1
chrII	791266	791267	3
chrII	795922	795923	2
chrIII	18038	18039	1
chrIII	21969	21970	1
chrIII	35174	35175	4
chrIII	37194	37195	3
chrIII	37844	37845	4
chrIII	38621	38622	1
chrIII	47599	47600	1
chrIII	52858	52859	1
chrIII	52877	52878	3
chrIII	52891	52892	2
chrIII	52899	52900	1
chrIII	52921	52922	5
chrIII	52931	52932	4
chrIII	55553	55554	3
chrIII	57933	57934	1
chrIII	57960	57961	1
chrIII	62939	62940	1
chrIII	63204	63205	1
chrIII	69827	69828	3
chrIII	77502	77503	1
chrIII	77521	77522	1
chrIII	77527	77528	2
chrIII	77533	77534	5
chrIII	77538	77539	1
chrIII	77568	77569	3
chrIII	77585	77586	4
chrIII	93595	93596	1
chrIII	93602	93603	1
chrIII	93603	93604	2
chrIII	104626	104627	1
chrIII	106135	106136	1
chrIII	125940	125941	1
chrIII	126702	126703	1
chrIII	127704	127705	2
chrIII	127766	127767	3
chrIII	128269	128270	1
chrIII	128577	128578	3
chrIII	133999	134000	1
chrIII	141325	141326	2
chrIII	142388	142389	1
chrIII	156133	156134	1
chrIII	159452	159453	1
chrIII	169944	169945	3
chrIII	169946	169947	1
chrIII	173839	173840	4
chrIII	176652	176653	1
chrIII	180871	180872	2
chrIII	184484	184485	3
chrIII	187005	187006	1
chrIII	187012	187013	2
chrIII	187030	187031	3
chrIII	187095	187096	2
chrIII	190586	190587	1
chrIII	196630	196631	2
chrIII	196643	196644	2
chrIII	196644	196645	1
chrIII	197586	197587	1
chrIII	202087	202088	1
chrIII	203985	203986	2
chrIII	206658	206659	4
chrIII	211130	211131	1
chrIII	211160	211161	1
chrIII	211203	211204	3
chrIII	215149	215150	2
chrIII	215150	215151	1
chrIII	215207	215208	4
chrIII	217432	217433	1
chrIII	221143	221144	1
chrIII	221206	221207	3
chrIII	228972	228973	1
chrIII	232091	232092	1
chrIII	234812	234813	2
chrIII	240260	240261	1
chrIII	249588	249589	2
chrIII	249592	249593	3
chrIII	249720	249721	1
chrIII	252534	252535	4
chrIII	258755	258756	1
chrIII	267521	267522	1
chrIII	267532	267534	1
chrIII	268019	268020	1
chrIII	269367	269368	2
chrIII	270500	270501	1
chrIII	272453	272454	2
chrIII	272513	272514	2
chrIII	278664	278665	1
chrIII	286919	286920	2
chrIII	289605	289606	1
chrIII	291647	291648	1
chrIII	292599	292600	2
chrIII	301663	301664	2
chrIV	18911	18912	6
chrIV	21502	21503	1
chrIV	24467	24468	1
chrIV	24477	24478	3
chrIV	45939	45940	1
chrIV	47320	47321	2
chrIV	47422	47423	3
chrIV	53081	53082	1
chrIV	57509	57510	2
chrIV	57659	57660	2
chrIV	57683	57684	1
chrIV	57686	57687	1
chrIV	57696	57697	3
chrIV	57700	57701	2
chrIV	57712	57713	2
chrIV	62944	62945	1
chrIV	62963	62964	4
chrIV	63088	63089	1
chrIV	63932	63933	1
chrIV	73302	73303	1
chrIV	73682	73683	2
chrIV	73692	73693	3
chrIV	74632	74633	1
chrIV	82064	82065	1
chrIV	82105	82106	1
chrIV	82389	82390	1
chrIV	84081	84082	1
chrIV	104491	104492	1
chrIV	106343	106344	3
chrIV	107858	107859	1
chrIV	114590	114591	1
chrIV	114591	114592	3
chrIV	114592	114593	1
chrIV	124162	124163	3
chrIV	132700	132701	1
chrIV	135003	135004	1
chrIV	135691	135692	4
chrIV	139107	139108	1
chrIV	149412	149413	2
chrIV	149771	149772	3
chrIV	152475	152476	1
chrIV	156307	156308	1
chrIV	161734	161735	1
chrIV	164415	164416	1
chrIV	165790	165791	1
chrIV	175543	175544	1
